HB_HOUSTON,datetime,temperature_Houston
22.01,1/1/15 0:00,281.1135
28.33,1/1/15 10:00,278.6973333
27.86,1/1/15 11:00,278.2946667
25.79,1/1/15 12:00,278.352
25.34,1/1/15 13:00,277.796
24.75,1/1/15 14:00,277.7
24.52,1/1/15 15:00,278.8705
25.1,1/1/15 16:00,278.3523333
43.53,1/1/15 17:00,279.1006667
46.11,1/1/15 18:00,279.1475
33.53,1/1/15 19:00,280.1296667
21.39,1/1/15 1:00,280.6016667
29.91,1/1/15 20:00,280.4103333
26.73,1/1/15 21:00,279.789
24.91,1/1/15 22:00,280.3703333
23.77,1/1/15 23:00,280.0496667
21,1/1/15 2:00,280.2533333
20.72,1/1/15 3:00,280.198
21.18,1/1/15 4:00,279.752
24.58,1/1/15 5:00,279.599
24.84,1/1/15 6:00,279.5025
25.11,1/1/15 7:00,279.3306667
25.87,1/1/15 8:00,279.2153333
26.15,1/1/15 9:00,278.669
18.42,1/1/16 0:00,285.14
20.6,1/1/16 10:00,281.79
20.61,1/1/16 11:00,281.82
20.3,1/1/16 12:00,281.43
20.07,1/1/16 13:00,281.21
19.09,1/1/16 14:00,280.94
19.34,1/1/16 15:00,280.91
20.07,1/1/16 16:00,281.44
24.94,1/1/16 17:00,281.95
26.25,1/1/16 18:00,281.9523623
23.24,1/1/16 19:00,282.33
16.15,1/1/16 1:00,285.1332748
22.79,1/1/16 20:00,282.53
21.36,1/1/16 21:00,282.59
20.32,1/1/16 22:00,282.5863219
19.66,1/1/16 23:00,281.83
15.61,1/1/16 2:00,284.0806374
15.62,1/1/16 3:00,284.34
15.94,1/1/16 4:00,283.66
16.69,1/1/16 5:00,283.6454286
18.96,1/1/16 6:00,283
19.18,1/1/16 7:00,282.76
19.08,1/1/16 8:00,282.689787
19.66,1/1/16 9:00,282.41
23.23,1/1/17 0:00,292.69
28,1/1/17 10:00,290.79
25.06,1/1/17 11:00,290.79
23.71,1/1/17 12:00,290.52
23.25,1/1/17 13:00,290.61
24,1/1/17 14:00,290.69
23.22,1/1/17 15:00,290.78
22.94,1/1/17 16:00,291.51
41.99,1/1/17 17:00,291.95
34.99,1/1/17 18:00,293.34
24.97,1/1/17 19:00,294.78
21.82,1/1/17 1:00,292.33
24.28,1/1/17 20:00,295.69
23.22,1/1/17 21:00,296.61
20.19,1/1/17 22:00,296.78
17.92,1/1/17 23:00,296.7
20.16,1/1/17 2:00,292.47
20,1/1/17 3:00,292.28
20.24,1/1/17 4:00,291.78
21.45,1/1/17 5:00,291.52
24.35,1/1/17 6:00,291.53
24.06,1/1/17 7:00,291.06
25.48,1/1/17 8:00,290.78
24.94,1/1/17 9:00,290.88
22.94,1/2/15 0:00,279.8525
29.55,1/2/15 10:00,280.5526667
26.75,1/2/15 11:00,280.8453333
25.99,1/2/15 12:00,281.267
25.22,1/2/15 13:00,281.5166667
24.68,1/2/15 14:00,281.8953333
24.33,1/2/15 15:00,282.9325
24.81,1/2/15 16:00,283.0916667
36.71,1/2/15 17:00,283.9093333
39.11,1/2/15 18:00,284.8305
29.8,1/2/15 19:00,285.6136667
21.88,1/2/15 1:00,279.4906667
28.47,1/2/15 20:00,286.5003333
26.33,1/2/15 21:00,285.63
24.91,1/2/15 22:00,287.1023333
23.76,1/2/15 23:00,286.8176667
21.65,1/2/15 2:00,279.2523333
21.7,1/2/15 3:00,279.7305
23.18,1/2/15 4:00,279.2533333
25.63,1/2/15 5:00,279.4926667
39.5,1/2/15 6:00,279.637
33.77,1/2/15 7:00,279.908
30.02,1/2/15 8:00,280.084
29.45,1/2/15 9:00,280.435
18.99,1/2/16 0:00,281.8297636
23.4,1/2/16 10:00,280.58
