Date (MM/DD/YYYY),Time (HH:MM),GHI
1/1/79,1:00,0
1/1/79,2:00,0
1/1/79,3:00,0
1/1/79,4:00,0
1/1/79,5:00,0
1/1/79,6:00,0
1/1/79,7:00,0
1/1/79,8:00,14
1/1/79,9:00,52
1/1/79,10:00,76
1/1/79,11:00,101
1/1/79,12:00,228
1/1/79,13:00,282
1/1/79,14:00,229
1/1/79,15:00,194
1/1/79,16:00,147
1/1/79,17:00,47
1/1/79,18:00,1
1/1/79,19:00,0
1/1/79,20:00,0
1/1/79,21:00,0
1/1/79,22:00,0
1/1/79,23:00,0
1/1/79,24:00:00,0
1/2/79,1:00,0
1/2/79,2:00,0
1/2/79,3:00,0
1/2/79,4:00,0
1/2/79,5:00,0
1/2/79,6:00,0
1/2/79,7:00,0
1/2/79,8:00,3
1/2/79,9:00,28
1/2/79,10:00,69
1/2/79,11:00,97
1/2/79,12:00,111
1/2/79,13:00,132
1/2/79,14:00,121
1/2/79,15:00,105
1/2/79,16:00,120
1/2/79,17:00,46
1/2/79,18:00,3
1/2/79,19:00,0
1/2/79,20:00,0
1/2/79,21:00,0
1/2/79,22:00,0
1/2/79,23:00,0
1/2/79,24:00:00,0
1/3/79,1:00,0
1/3/79,2:00,0
1/3/79,3:00,0
1/3/79,4:00,0
1/3/79,5:00,0
1/3/79,6:00,0
1/3/79,7:00,0
1/3/79,8:00,27
1/3/79,9:00,140
1/3/79,10:00,303
1/3/79,11:00,442
1/3/79,12:00,523
1/3/79,13:00,546
1/3/79,14:00,501
1/3/79,15:00,398
1/3/79,16:00,248
1/3/79,17:00,80
1/3/79,18:00,7
1/3/79,19:00,0
1/3/79,20:00,0
1/3/79,21:00,0
1/3/79,22:00,0
1/3/79,23:00,0
1/3/79,24:00:00,0
1/4/79,1:00,0
1/4/79,2:00,0
1/4/79,3:00,0
1/4/79,4:00,0
1/4/79,5:00,0
1/4/79,6:00,0
1/4/79,7:00,0
1/4/79,8:00,28
1/4/79,9:00,142
1/4/79,10:00,308
1/4/79,11:00,390
1/4/79,12:00,521
1/4/79,13:00,502
1/4/79,14:00,502
1/4/79,15:00,397
1/4/79,16:00,247
1/4/79,17:00,72
1/4/79,18:00,8
1/4/79,19:00,0
1/4/79,20:00,0
1/4/79,21:00,0
1/4/79,22:00,0
1/4/79,23:00,0
1/4/79,24:00:00,0
1/5/79,1:00,0
1/5/79,2:00,0
1/5/79,3:00,0
1/5/79,4:00,0
1/5/79,5:00,0
1/5/79,6:00,0
1/5/79,7:00,0
1/5/79,8:00,22
1/5/79,9:00,100
1/5/79,10:00,272
1/5/79,11:00,411
1/5/79,12:00,484
1/5/79,13:00,514
1/5/79,14:00,438
1/5/79,15:00,254
1/5/79,16:00,136
1/5/79,17:00,43
1/5/79,18:00,5
1/5/79,19:00,0
1/5/79,20:00,0
1/5/79,21:00,0
1/5/79,22:00,0
1/5/79,23:00,0
1/5/79,24:00:00,0
1/6/79,1:00,0
1/6/79,2:00,0
1/6/79,3:00,0
1/6/79,4:00,0
1/6/79,5:00,0
1/6/79,6:00,0
1/6/79,7:00,0
1/6/79,8:00,11
1/6/79,9:00,65
1/6/79,10:00,134
1/6/79,11:00,191
1/6/79,12:00,273
1/6/79,13:00,241
1/6/79,14:00,217
1/6/79,15:00,183
1/6/79,16:00,72
1/6/79,17:00,27
1/6/79,18:00,2
1/6/79,19:00,0
1/6/79,20:00,0
1/6/79,21:00,0
1/6/79,22:00,0
1/6/79,23:00,0
1/6/79,24:00:00,0
1/7/79,1:00,0
1/7/79,2:00,0
1/7/79,3:00,0
1/7/79,4:00,0
1/7/79,5:00,0
1/7/79,6:00,0
1/7/79,7:00,0
1/7/79,8:00,9
1/7/79,9:00,70
1/7/79,10:00,154
1/7/79,11:00,222
1/7/79,12:00,240
1/7/79,13:00,167
1/7/79,14:00,138
1/7/79,15:00,121
1/7/79,16:00,84
1/7/79,17:00,30
1/7/79,18:00,3
1/7/79,19:00,0
1/7/79,20:00,0
1/7/79,21:00,0
1/7/79,22:00,0
1/7/79,23:00,0
1/7/79,24:00:00,0
1/8/79,1:00,0
1/8/79,2:00,0
1/8/79,3:00,0
1/8/79,4:00,0
1/8/79,5:00,0
1/8/79,6:00,0
1/8/79,7:00,0
1/8/79,8:00,10
1/8/79,9:00,44
1/8/79,10:00,148
1/8/79,11:00,207
1/8/79,12:00,247
1/8/79,13:00,250
1/8/79,14:00,255
1/8/79,15:00,212
1/8/79,16:00,136
1/8/79,17:00,46
1/8/79,18:00,4
1/8/79,19:00,0
1/8/79,20:00,0
1/8/79,21:00,0
1/8/79,22:00,0
1/8/79,23:00,0
1/8/79,24:00:00,0
1/9/79,1:00,0
1/9/79,2:00,0
1/9/79,3:00,0
1/9/79,4:00,0
1/9/79,5:00,0
1/9/79,6:00,0
1/9/79,7:00,0
1/9/79,8:00,18
1/9/79,9:00,121
1/9/79,10:00,285
1/9/79,11:00,424
1/9/79,12:00,509
1/9/79,13:00,531
1/9/79,14:00,492
1/9/79,15:00,388
1/9/79,16:00,239
1/9/79,17:00,72
1/9/79,18:00,4
1/9/79,19:00,0
1/9/79,20:00,0
1/9/79,21:00,0
1/9/79,22:00,0
1/9/79,23:00,0
1/9/79,24:00:00,0
1/10/79,1:00,0
1/10/79,2:00,0
1/10/79,3:00,0
1/10/79,4:00,0
1/10/79,5:00,0
1/10/79,6:00,0
1/10/79,7:00,0
1/10/79,8:00,27
1/10/79,9:00,131
1/10/79,10:00,276
1/10/79,11:00,417
1/10/79,12:00,504
1/10/79,13:00,459
1/10/79,14:00,415
1/10/79,15:00,310
1/10/79,16:00,227
1/10/79,17:00,90
1/10/79,18:00,11
1/10/79,19:00,0
1/10/79,20:00,0
1/10/79,21:00,0
1/10/79,22:00,0
1/10/79,23:00,0
1/10/79,24:00:00,0
1/11/79,1:00,0
1/11/79,2:00,0
1/11/79,3:00,0
1/11/79,4:00,0
1/11/79,5:00,0
1/11/79,6:00,0
1/11/79,7:00,0
1/11/79,8:00,19
1/11/79,9:00,85
1/11/79,10:00,193
1/11/79,11:00,237
1/11/79,12:00,479
1/11/79,13:00,501
1/11/79,14:00,472
1/11/79,15:00,386
1/11/79,16:00,219
1/11/79,17:00,80
1/11/79,18:00,11
1/11/79,19:00,0
1/11/79,20:00,0
1/11/79,21:00,0
1/11/79,22:00,0
1/11/79,23:00,0
1/11/79,24:00:00,0
1/12/79,1:00,0
1/12/79,2:00,0
1/12/79,3:00,0
1/12/79,4:00,0
1/12/79,5:00,0
1/12/79,6:00,0
1/12/79,7:00,0
1/12/79,8:00,13
1/12/79,9:00,29
1/12/79,10:00,53
1/12/79,11:00,95
1/12/79,12:00,120
1/12/79,13:00,125
1/12/79,14:00,123
1/12/79,15:00,105
1/12/79,16:00,77
1/12/79,17:00,28
1/12/79,18:00,4
1/12/79,19:00,0
1/12/79,20:00,0
1/12/79,21:00,0
1/12/79,22:00,0
1/12/79,23:00,0
1/12/79,24:00:00,0
1/13/79,1:00,0
1/13/79,2:00,0
1/13/79,3:00,0
1/13/79,4:00,0
1/13/79,5:00,0
1/13/79,6:00,0
1/13/79,7:00,0
1/13/79,8:00,12
1/13/79,9:00,50
1/13/79,10:00,97
1/13/79,11:00,130
1/13/79,12:00,168
1/13/79,13:00,162
1/13/79,14:00,154
1/13/79,15:00,127
1/13/79,16:00,92
1/13/79,17:00,39
1/13/79,18:00,6
1/13/79,19:00,0
1/13/79,20:00,0
1/13/79,21:00,0
1/13/79,22:00,0
1/13/79,23:00,0
1/13/79,24:00:00,0
1/14/79,1:00,0
1/14/79,2:00,0
1/14/79,3:00,0
1/14/79,4:00,0
1/14/79,5:00,0
1/14/79,6:00,0
1/14/79,7:00,0
1/14/79,8:00,15
1/14/79,9:00,70
1/14/79,10:00,157
1/14/79,11:00,198
1/14/79,12:00,244
1/14/79,13:00,298
1/14/79,14:00,347
1/14/79,15:00,175
1/14/79,16:00,128
1/14/79,17:00,47
1/14/79,18:00,8
1/14/79,19:00,0
1/14/79,20:00,0
1/14/79,21:00,0
1/14/79,22:00,0
1/14/79,23:00,0
1/14/79,24:00:00,0
1/15/79,1:00,0
1/15/79,2:00,0
1/15/79,3:00,0
1/15/79,4:00,0
1/15/79,5:00,0
1/15/79,6:00,0
1/15/79,7:00,0
1/15/79,8:00,26
1/15/79,9:00,138
1/15/79,10:00,286
1/15/79,11:00,441
1/15/79,12:00,478
1/15/79,13:00,528
1/15/79,14:00,496
1/15/79,15:00,402
1/15/79,16:00,239
1/15/79,17:00,108
1/15/79,18:00,16
1/15/79,19:00,0
1/15/79,20:00,0
1/15/79,21:00,0
1/15/79,22:00,0
1/15/79,23:00,0
1/15/79,24:00:00,0
1/16/79,1:00,0
1/16/79,2:00,0
1/16/79,3:00,0
1/16/79,4:00,0
1/16/79,5:00,0
1/16/79,6:00,0
1/16/79,7:00,0
1/16/79,8:00,15
1/16/79,9:00,126
1/16/79,10:00,239
1/16/79,11:00,302
1/16/79,12:00,380
1/16/79,13:00,361
1/16/79,14:00,488
1/16/79,15:00,399
1/16/79,16:00,246
1/16/79,17:00,90
1/16/79,18:00,13
1/16/79,19:00,0
1/16/79,20:00,0
1/16/79,21:00,0
1/16/79,22:00,0
1/16/79,23:00,0
1/16/79,24:00:00,0
1/17/79,1:00,0
1/17/79,2:00,0
1/17/79,3:00,0
1/17/79,4:00,0
1/17/79,5:00,0
1/17/79,6:00,0
1/17/79,7:00,0
1/17/79,8:00,25
1/17/79,9:00,60
1/17/79,10:00,144
1/17/79,11:00,404
1/17/79,12:00,285
1/17/79,13:00,361
1/17/79,14:00,300
1/17/79,15:00,168
1/17/79,16:00,198
1/17/79,17:00,98
1/17/79,18:00,18
1/17/79,19:00,0
1/17/79,20:00,0
1/17/79,21:00,0
1/17/79,22:00,0
1/17/79,23:00,0
1/17/79,24:00:00,0
1/18/79,1:00,0
1/18/79,2:00,0
1/18/79,3:00,0
1/18/79,4:00,0
1/18/79,5:00,0
1/18/79,6:00,0
1/18/79,7:00,0
1/18/79,8:00,29
1/18/79,9:00,131
1/18/79,10:00,318
1/18/79,11:00,432
1/18/79,12:00,502
1/18/79,13:00,538
1/18/79,14:00,500
1/18/79,15:00,414
1/18/79,16:00,276
1/18/79,17:00,104
1/18/79,18:00,21
1/18/79,19:00,0
1/18/79,20:00,0
1/18/79,21:00,0
1/18/79,22:00,0
1/18/79,23:00,0
1/18/79,24:00:00,0
1/19/79,1:00,0
1/19/79,2:00,0
1/19/79,3:00,0
1/19/79,4:00,0
1/19/79,5:00,0
1/19/79,6:00,0
1/19/79,7:00,0
1/19/79,8:00,24
1/19/79,9:00,131
1/19/79,10:00,275
1/19/79,11:00,212
1/19/79,12:00,253
1/19/79,13:00,169
1/19/79,14:00,217
1/19/79,15:00,169
1/19/79,16:00,75
1/19/79,17:00,31
1/19/79,18:00,5
1/19/79,19:00,0
1/19/79,20:00,0
1/19/79,21:00,0
1/19/79,22:00,0
