datetime,Consommation
1/1/17 0:00,76259
1/1/17 1:00,72912
1/1/17 2:00,72166
1/1/17 3:00,69709
1/1/17 4:00,66476
1/1/17 5:00,64321
1/1/17 6:00,63983
1/1/17 7:00,63830
1/1/17 8:00,64178
1/1/17 9:00,64383
1/1/17 10:00,66393
1/1/17 11:00,68103
1/1/17 12:00,69539
1/1/17 13:00,71755
1/1/17 14:00,69027
1/1/17 15:00,66453
1/1/17 16:00,65353
1/1/17 17:00,65753
1/1/17 18:00,70813
1/1/17 19:00,73812
1/1/17 20:00,73881
1/1/17 21:00,72018
1/1/17 22:00,69305
1/1/17 23:00,72537
1/2/17 0:00,71248
1/2/17 1:00,66715
1/2/17 2:00,65635
1/2/17 3:00,63523
1/2/17 4:00,61615
1/2/17 5:00,61926
1/2/17 6:00,64473
1/2/17 7:00,69038
1/2/17 8:00,73021
1/2/17 9:00,75091
1/2/17 10:00,76995
1/2/17 11:00,78293
1/2/17 12:00,79774
1/2/17 13:00,80395
1/2/17 14:00,78169
1/2/17 15:00,76103
1/2/17 16:00,74951
1/2/17 17:00,75763
1/2/17 18:00,80725
1/2/17 19:00,83567
1/2/17 20:00,80850
1/2/17 21:00,76518
1/2/17 22:00,73286
1/2/17 23:00,76235
1/3/17 0:00,75058
1/3/17 1:00,70919
1/3/17 2:00,70052
1/3/17 3:00,68111
1/3/17 4:00,66404
1/3/17 5:00,66636
1/3/17 6:00,70337
1/3/17 7:00,77757
1/3/17 8:00,82934
1/3/17 9:00,83645
1/3/17 10:00,84357
1/3/17 11:00,84093
1/3/17 12:00,84308
1/3/17 13:00,83616
1/3/17 14:00,81626
1/3/17 15:00,79247
1/3/17 16:00,78385
1/3/17 17:00,79235
1/3/17 18:00,85045
1/3/17 19:00,88323
1/3/17 20:00,85218
1/3/17 21:00,80439
1/3/17 22:00,76960
1/3/17 23:00,79450
1/4/17 0:00,78410
1/4/17 1:00,74116
1/4/17 2:00,73936
1/4/17 3:00,71725
1/4/17 4:00,69615
1/4/17 5:00,69713
1/4/17 6:00,73343
1/4/17 7:00,80256
1/4/17 8:00,85335
1/4/17 9:00,85991
1/4/17 10:00,86322
1/4/17 11:00,86179
1/4/17 12:00,86363
1/4/17 13:00,85731
1/4/17 14:00,83633
1/4/17 15:00,80985
1/4/17 16:00,79772
1/4/17 17:00,79902
1/4/17 18:00,84791
1/4/17 19:00,87644
1/4/17 20:00,84199
1/4/17 21:00,79435
1/4/17 22:00,75992
1/4/17 23:00,78298
1/5/17 0:00,77415
1/5/17 1:00,73020
1/5/17 2:00,72628
1/5/17 3:00,70153
1/5/17 4:00,67874
1/5/17 5:00,68356
1/5/17 6:00,71931
1/5/17 7:00,79377
1/5/17 8:00,84273
1/5/17 9:00,84346
1/5/17 10:00,84443
1/5/17 11:00,83529
1/5/17 12:00,83043
1/5/17 13:00,81762
1/5/17 14:00,79428
1/5/17 15:00,76983
1/5/17 16:00,76153
1/5/17 17:00,77007
1/5/17 18:00,83241
1/5/17 19:00,87297
1/5/17 20:00,84443
1/5/17 21:00,80164
1/5/17 22:00,76906
1/5/17 23:00,80238
1/6/17 0:00,78988
1/6/17 1:00,75053
1/6/17 2:00,75344
1/6/17 3:00,73476
1/6/17 4:00,71534
1/6/17 5:00,72026
1/6/17 6:00,75988
1/6/17 7:00,83327
1/6/17 8:00,88843
1/6/17 9:00,89242
1/6/17 10:00,89142
1/6/17 11:00,87613
1/6/17 12:00,86609
1/6/17 13:00,85079
1/6/17 14:00,82061
1/6/17 15:00,79226
1/6/17 16:00,78036
1/6/17 17:00,79055
1/6/17 18:00,85967
1/6/17 19:00,88781
1/6/17 20:00,86649
1/6/17 21:00,82692
1/6/17 22:00,79695
1/6/17 23:00,82910
1/7/17 0:00,82025
1/7/17 1:00,77918
1/7/17 2:00,77803
1/7/17 3:00,75022
1/7/17 4:00,72787
1/7/17 5:00,71927
1/7/17 6:00,73172
1/7/17 7:00,75025
1/7/17 8:00,78292
1/7/17 9:00,80535
1/7/17 10:00,82819
1/7/17 11:00,82773
1/7/17 12:00,82873
